2008,11197.1,5.1,3258180,38342,783000,81.4,5.71,1.61,1588670
2009,12647.6,5.7,3523000,41319,788000,81.5,3.646,1.63,1608900
2010,11408.9,5.4,3918000,41347,800000,81.6,6.19,1.65,1627320
2011,11905.9,5.5,4381000,42734,808000,81.8,6.15,1.66,1639610
2012,12235.2,5.6,4790000,42366,808000,81.9,6.41,1.68,1656730
2013,12313.7,6.5,6557648.5,41596,805000,82.1,6.38,1.7,1671490
2014,13423.8,6.9,8325297,41603,801000,82.1,6.29,1.71,1686950
2015,13765,7.6,8879458,44644,804000,82.3,6.21,1.73,1700670
2016,12027.8,7,8345233,45448,812000,82.4,6.17,1.74,1712840
2017,11970,6.6,8557602.5,45874,825000,82.3,6.19,1.75,1723920
2004,37572,5.1,1700538,35532,981000,81,6.72,0.78,1979540
2005,41086.9,4.5,1864716,36363,1037000,81.3,7.87,0.79,2011210
2006,49351.2,3.6,1983575,36543,1074000,81.4,2.89,0.81,2050580
2007,52105.1,3.3,2326388,39649,1116000,81.5,6.72,0.83,2106140
2008,52114.7,3.1,2466883,43613,1168000,81.6,6.72,0.86,2171700
2009,60873.4,5,2638000,46283,1177000,81.7,2.965,0.88,2240250
2010,72985.6,4.7,2935000,46429,1205000,81.9,7.92,0.9,2290850
2011,75813.6,4.3,3230000,48572,1242000,82.3,7.51,0.93,2353410
2012,76031.9,4.1,3194000,50918,1301000,82.4,7.92,0.96,2425510
2013,87071.9,4.7,3448224,51586,1307000,82.5,7.6,0.98,2486940
2014,79353.6,5.2,3702448,52853,1313000,82.6,7.59,0.99,2517610
2015,74446,6,3900395,54353,1322000,82.7,7.71,1,2540670
2016,78441.2,6.2,3889426,53861,1304000,82.5,7.4,1.01,2555980
2017,79333.4,6.1,4340109.5,51613,1320000,82.5,7.4,1.02,2574190
2004,2766.7,6.5,459240,30589,98000,79.3,5.467,7.11,483178
2005,2829.9,6.3,552287,32235,97000,79.7,6.41,7.16,486202
2006,3012.94,6.5,606006,33780,102000,79.8,2.037,7.2,489302
2007,3197.53,5.3,627020,35227,108000,79.9,5.467,7.26,493262
2008,2840.71,4.5,693156,37119,113000,80,5.467,7.34,498568
2009,3107.32,5.1,822000,39660,120000,80,2.294,7.43,504353
2010,3073.53,5.9,880000,39765,120000,80.1,6.28,7.49,508847
2011,3384.87,5.7,916000,39791,122000,80.3,6.08,7.53,511483
2012,3528.26,7.1,957000,39284,126000,80.6,6.37,7.53,511724
2013,3451.54,7.9,1094578,37742,129000,80.6,6.42,7.54,512231
2014,3617.25,7.5,1232156,38242,132000,80.6,6.4,7.56,513621
2015,3719,6.8,1323084,40905,135000,80.8,6.29,7.58,515117
2016,3248.16,6.7,1439984,42171,136000,80.8,6.18,7.62,517514
2017,3347.59,6.1,1523488,42244,138000,80.8,6.09,7.69,522410
2004,2984.4,5.6,282395,36235,98184,75.2,7.04,0.15,202663
2005,3556.82,5.5,329390,39371,96908,75.4,7.88,0.15,205905
2006,4897.54,4.8,363462,42081,99411,75,3.566,0.15,209057
2007,4872.63,4.5,386501,43051,105041,75.3,7.04,0.16,213748
2008,4857.45,3.7,442788,44691,111421,75.4,7.04,0.16,219874
2009,4462.83,3.8,471000,47747,116818,76.1,3.796,0.17,226027
2010,4419.47,3,515000,50516,120254,76.6,7.21,0.17,229778
2011,4615.93,3.8,568000,51999,120943,77.6,7.88,0.17,231292
2012,5115.56,4.3,608000,53364,123265,77.3,8.61,0.17,235915
2013,5168.77,5.2,701854,54463,127174,77,7.59,0.18,241722
2014,4859.58,3.9,795708,58063,131232,77.1,7.93,0.18,242894
2015,4333,4.3,882805,61248,132034,77,7.77,0.18,244692
2016,3912.51,3.9,1105307,62460,133220,77.1,7.92,0.18,245678
2017,3879.63,4,1113472,62541,136240,77.6,7.61,0.18,247517
2004,1074.3,3.7,389177,57213,178634,81.8,5.85,140.03,328940
2005,957.38,3.3,423100,59095,183190,82,6.27,141.08,331399
2006,994.06,3.1,464057,59942,187528,81.9,3.862,142.69,335170
2007,967.03,2.8,522003,62768,194354,82.1,5.85,145.87,342644
2008,729.82,2.8,586093,67312,196987,82,5.85,148.3,348368
2009,877.66,3.3,631000,71257,199627,82.4,4.125,151.04,354785
2010,737.71,3.4,697000,73868,202641,82.5,6.12,154.01,361766
2011,762.49,3.9,933000,79610,207167,82.8,6.13,156.66,367985
2012,876.67,3.8,988000,82681,208606,83.1,6.24,160.3,376539
2013,851.69,4.3,1038532,86442,210863,83.3,6.65,163.16,383257
2014,953.13,4.4,1089064,86040,210307,83.2,6.57,165.52,388799
2015,1041,4.8,1470032,84267,209262,83.2,6.22,168.5,395813
2016,940.89,3.9,1506736,84103,211773,83.2,6.42,171.61,403104
2017,946.93,4.1,1507278,84745,215704,83.1,6.06,175.4,412025
